feature_columns,target_columns,train_mse,train_mae,train_rmse,train_mape,train_mse_per_target,test_mse,test_mae,test_rmse,test_mape,test_mse_per_target
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[287.54741536858756, 466.3538656427664, 123.08629206416587]","[14.188518346187408, 17.415934940463742, 9.555785055357095]","[16.95722310310823, 21.595227844196653, 11.094426171017854]","[20.084081653695804, 26.016409366967764, 12.31400542920311]","[array([287.54741537]), array([466.35386564]), array([123.08629206])]","[620.6953498454467, 580.9558798892089, 475.33298458770037]","[24.050295400723815, 22.662907512668717, 20.093973443486977]","[24.913758244099718, 24.103026363699826, 21.802132569721255]","[12.49899731413463, 11.728310105016899, 10.301937341626543]","[array([620.69534985]), array([580.95587989]), array([475.33298459])]"
[1],[1],"[287.4758478586598, 466.3038906059097, 123.08629206416587]","[14.186872216650334, 17.414939858911673, 9.555785055357095]","[16.955112735061945, 21.594070728001, 11.094426171017854]","[20.081474041775966, 26.01503054819702, 12.31400542920311]","[array([287.47584786]), array([466.30389061]), array([123.08629206])]","[620.5440352248928, 580.8225319713272, 475.33298458770037]","[24.047343628134385, 22.66007146594791, 20.093973443486977]","[24.91072129073931, 24.10025999800266, 21.802132569721255]","[12.497472041333383, 11.726833348625368, 10.301937341626543]","[array([620.54403522]), array([580.82253197]), array([475.33298459])]"
[1],[1],"[287.47154299348347, 466.30736374522303, 123.08629206416587]","[14.185780947862122, 17.414364649951562, 9.555785055357095]","[16.954985785705734, 21.594151146669855, 11.094426171017854]","[20.081818904147656, 26.015353591647617, 12.31400542920311]","[array([287.47154299]), array([466.30736375]), array([123.08629206])]","[620.2547014848905, 580.6082998954781, 475.33298458770037]","[24.041454056793924, 22.65541006650815, 20.093973443486977]","[24.904913199706005, 24.095814987160697, 21.802132569721255]","[12.494372104381755, 11.724376515809936, 10.301937341626543]","[array([620.25470148]), array([580.6082999]), array([475.33298459])]"
[1],[1],"[287.5168040351325, 466.3261742719859, 123.08629206416587]","[14.188410236245273, 17.41611049235803, 9.555785055357095]","[16.95632047453493, 21.59458668907525, 11.094426171017854]","[20.08266129849502, 26.015389441655085, 12.31400542920311]","[array([287.51680404]), array([466.32617427]), array([123.08629206])]","[620.7979665445829, 581.1296626580886, 475.33298458770037]","[24.05244520348389, 22.66675377153488, 20.093973443486977]","[24.91581759735335, 24.106631093084918, 21.802132569721255]","[12.500142302516396, 11.73035378953344, 10.301937341626543]","[array([620.79796654]), array([581.12966266]), array([475.33298459])]"
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[4439.130218614882, 5595.2041262365055, 123.08629206416587]","[53.79388228747287, 61.16180534632492, 9.555785055357095]","[66.62679805164647, 74.80109709246587, 11.094426171017854]","[41.26102261858971, 46.95917876909142, 12.31400542920311]","[array([4439.13021861]), array([5595.20412624]), array([123.08629206])]","[17222.761722461873, 20286.30890113978, 475.33298458770037]","[130.22361342039, 141.45952915653822, 20.093973443486977]","[131.2355200487348, 142.43001404598604, 21.802132569721255]","[68.36716296627107, 74.31318751539459, 10.301937341626543]","[array([17222.76172246]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
